Eextr (keV),Eeff (keV),Teff (b),^eff (b),S (eVb),AS (eVb)
4.04,"2.52c,f",9.2 x 10-12,4.0x10-12,2.30 x 10-1,1.0 x 10-¹
4.05,2.58b.f,7.2 x 10-12,2.2x10-12,1.59 x 10-1,4.9 x 10-2
5.04,"3.16c,f",4.12 x 10-11,7.0x10-12,2.37 x 10-¹,4.0 x 10-2
5.04,"3.22b,f",5.00 x 10-11,7.4x10-12,2.56 x 10-¹,3.8 x 10-2
6.04,"3.81c,f",1.25 x 10-10,1.5x10-11,2.42 x 10-1,2.9 X 10-2
6.50,4.18b.f,1.98 x 10-10,1.1 x 10-11,2.33 x 10-1,1.3 X 10-2
7.09,4.56b.f,3.07 x 10-10,2.0x10-11,2.29 x 10-1,1.5 x 10-2
7.07,"4.63a,f",3.63 x 10-10,2.2x10-11,2.51 x 10-1,1.5 x 10-2
8.05,5.19b.f,6.23 x 10-10,4.4x10-11,2.49 x 10-1,1.8 x 10-2
9.06,"5.85b,f",1.034 x 10-9,6.4x10-11,2.43 x 10-1,1.5 X 10-2
9.60,6.11c.f,1.295 x 10-9,6.6x10-11,2.52 x 10-1,1.3 X 10-2
9.98,"6.46b,f",1.684 x 10-9,6.7 x 10-11,2.62 x 10-1,1.1 x 10-2
10.56,"6.74c,f",1.98 x 10-9,9.6x10-11,2.61 x 10-1,1.3 x 10-2
11.10,7.19b.f,2.63 x 10-9,1.1x10-10,2.69 x 10-1,1.1 x 10-2
12.01,7.80b.f,3.60 10-9,1.3x10-10,2.73 x 10-1,9.7 X 10-3
12.98,8.43b.d,4.7 x 10-9,1.6 x 10-9,2.73 x 10-1,9.17 x 10-2
13.10,8.51b.e,4.73 x 10-9,3.0x10-10,2.64 x 10-1,1.7 x 10-2
14.01,9.11b.d,5.89 x 10-9,5x10-10,2.62 x 10-1,4.2 X 10-2
14.04,9.13b.e,6.13 x,4.2x10-10,2.71 x 10-1,1.9 x 10-2
14.95,9.73b.e,7.49 x 10-9,5.0 X 10-10,2.70 x 10-1,1.8 x 10-2
14.95,"9.84a,c",7.98 x 10-9,4.5 x 10-10,2.79 x 10-1,1.6 X 10-2
15.90,10.36b.d,1.00 x 10-8,2.1 x 10-9,3.01 x 10-1,6.2 x 10-2
15.94,10.38b.e,9.61 x 10-9,6.4x10-10,2.85 x 10-1,1.9 x 10-2
16.18,"10.55b,d",1.02 x 10-8,2.0 x 10-9,2.90 x 10-1,5.8 x 10-2
16.11,"10.62a,",1.022 x 10-,5.2x10-10,2.86 x 10-1,1.5 x 10-2
17.18,11.21b.d,1.21 x 10-8,1.3 X 10-9,2.88 x 10-1,3.0 x 10-2
17.03,"11.23a,",1.183 x 10,5.7 x 10-10,2.80 x 10-1,1.4 x 10-2
18.15,11.85b.d,1.42 X 10-8,1.5 x 10-9,2.90 X 10-1,3.1 x 10-2
18.20,11.87b.d,1.42 x 10-8,1.4 x 10-9,2.89 x 10-1,2.8 x 10-2
18.90,12.34b.d,1.51 x 10-8,1.3 x 10-9,2.77 x 10-1,2.4 x 10-2
19.18,"12.39c,d",1.60 X 10-8,1.4 x 10-9,2.89 x 10-1,2.5 x 10-2
20.23,13.22b.d,1.96 x 10-8,1.6 x 10-,3.00 X 10-1,2.5 x 10-2
20.23,13.22b.d,1.75 x 10-8,1.7 x 10-9,2.68 x 10-1,2.7 x 10-2
21.12,13.81b.d,2.26 x 10-8,1.6 x 10,3.11 x 10-1,2.2 x 10-2
22.24,"14.42c,d",2.34 x 10-8,1.5 x 10-9,2.90 x 10-1,1.9 x 10-2
22.24,14.55b.d,2.86 x 10-8,2.0 x 10-9,3.46 x 10-1,2.4 x 10-2
22.87,14.97b.d,2.64 x 10-8,2.1 x 10-9,2.99 x 10-1,2.4 x 10-2
24.16,15.82b.d,2.82 X 10-8,3.4 x 10-,2.82 x 10-1,3.4 X 10-2
24.25,15.89b.d,3.28 x 10-8,1.6 X 10-9,3.25 x 10-1,1.6 x 10-2
24.92,"16.33b,d",3.18 x 10-8,2.1 x 10-9,2.96 x 10-1,2.0 x 10-2
26.25,17.21b.d,3.77 x 10-8,3.0 x 10-9,3.14 x 10-1,2.5 X 10-2
26.28,"17.23b,d",4.07 10-8,1.6 x 10,3.39 x 10-1,1.4 x 10-2
26.88,17.63b.d,3.82 x 10-8,2.3 x 10,3.02 x 10-1,1.8 x 10-2
28.26,18.54b.d,4.52 x 10-8,3.1 x 10-9,3.24 x 10-1,2.2 x 10-2
28.29,18.56b.d,4.97 x 10-8,1.9 x 10,3.55 x 10-1,1.4 x 10-2
29.10,19.10b.d,4.81 x 10-8,2.7 X 10-9,3.25 X 10- 1,1.9 x 10-2
29.95,19.66b.d,5.14x10-8,2.8 x 10-9,3.28 x 10-1,1.8 x 10-2
30.09,"19.91a,d",5.25 x 10-8,3.5 x 10-,3.28 x 10-1,2.2x10-2
30.11,19.77b.d,5.25 x 10-8,4.8 x 10,3.32 x 10-!,3.1 x 10-2
31.10,20.43b.d,5.19 x 10-8,2.8 x 10,3.09 X 10 1,1.7 x 10-2
32.31,21.23b.d,5.92 x 10-8,2.2 x 10 9,3.28 x 10 1,1.2 x 10-2
